steam_appid,game_name,category,developer,publisher,release_date,platforms,genres,steam_categories
227300,Euro Truck Simulator 2,trending,SCS Software,SCS Software,"12 Oct, 2012",windows|mac|linux,Indie|Simulation,Single-player|Multi-player|Co-op|Online Co-op|Steam Achievements|Steam Trading Cards|Steam Workshop|Camera Comfort|Custom Volume Controls|Adjustable Difficulty|Keyboard Only Option|Playable without Timed Input|Save Anytime|Steam Input API Support|Stereo Sound|Surround Sound|Partial Controller Support|Steam Cloud|Includes level editor|Remote Play on Phone|Remote Play on Tablet|Remote Play Together|Family Sharing
1086940,Baldur's Gate 3,personal,Larian Studios,Larian Studios,"3 Aug, 2023",windows|mac,Adventure|RPG|Strategy,Single-player|Multi-player|Co-op|Online Co-op|LAN Co-op|Cross-Platform Multiplayer|Steam Achievements|Full controller support|Steam Trading Cards|Adjustable Text Size|Camera Comfort|Color Alternatives|Custom Volume Controls|Adjustable Difficulty|Playable without Timed Input|DualShock Controller Support|DualShock Controller Support|DualSense Controller Support|DualSense Controller Support|Save Anytime|Stereo Sound|Subtitle Options|Surround Sound|Steam Cloud|Remote Play on TV|Remote Play Together|Family Sharing
550,Left 4 Dead 2,personal,Valve,Valve,"16 Nov, 2009",windows|linux,Action,Single-player|Multi-player|PvP|Online PvP|Co-op|Online Co-op|Steam Achievements|Full controller support|Steam Trading Cards|Captions available|Steam Workshop|Camera Comfort|Color Alternatives|Custom Volume Controls|Adjustable Difficulty|Playable without Timed Input|DualShock Controller Support|DualShock Controller Support|DualSense Controller Support|DualSense Controller Support|Steam Input API Support|Stereo Sound|Surround Sound|Steam Cloud|Valve Anti-Cheat enabled|Stats|Includes Source SDK|Commentary available|Remote Play on Phone|Remote Play on Tablet|Remote Play on TV|Remote Play Together|Family Sharing|Steam Timeline
394360,Hearts of Iron IV,trending,Paradox Development Studio,Paradox Interactive,"6 Jun, 2016",windows|mac|linux,Simulation|Strategy,Single-player|Multi-player|Co-op|Cross-Platform Multiplayer|Steam Achievements|Steam Trading Cards|Steam Workshop|Steam Cloud|Remote Play on Tablet|Family Sharing
1245620,ELDEN RING,personal,"FromSoftware, Inc.","FromSoftware, Inc.|Bandai Namco Entertainment","24 Feb, 2022",windows,Action|RPG,Single-player|Multi-player|PvP|Online PvP|Co-op|Online Co-op|Steam Achievements|Full controller support|Steam Trading Cards|Camera Comfort|Custom Volume Controls|Playable without Timed Input|Save Anytime|Stereo Sound|Surround Sound|Steam Cloud|Family Sharing
284160,BeamNG.drive,trending,BeamNG,BeamNG,"29 May, 2015",windows,Racing|Simulation|Early Access,Single-player|Steam Achievements|Steam Trading Cards|Camera Comfort|Custom Volume Controls|Keyboard Only Option|Playable without Timed Input|DualShock Controller Support|DualSense Controller Support|DualSense Controller Support|Stereo Sound|Surround Sound|Partial Controller Support|Steam Cloud|Includes level editor|Remote Play on Phone|Remote Play on Tablet|Remote Play Together|Family Sharing
322330,Don't Starve Together,trending,Klei Entertainment,Klei Entertainment,"21 Apr, 2016",windows|mac|linux,Action|Adventure|Indie|RPG|Simulation|Strategy,Single-player|Multi-player|PvP|Online PvP|LAN PvP|Co-op|Online Co-op|LAN Co-op|Full controller support|Steam Trading Cards|Steam Workshop|In-App Purchases|Adjustable Text Size|Camera Comfort|Color Alternatives|Custom Volume Controls|Adjustable Difficulty|Keyboard Only Option|Mouse Only Option|Playable without Timed Input|Save Anytime|Stereo Sound|Remote Play on Phone|Remote Play on Tablet|Remote Play on TV|Family Sharing
1091500,Cyberpunk 2077,personal,CD PROJEKT RED,CD PROJEKT RED,"9 Dec, 2020",windows|mac,RPG,Single-player|Steam Achievements|Full controller support|Steam Trading Cards|Adjustable Text Size|Camera Comfort|Color Alternatives|Custom Volume Controls|Adjustable Difficulty|Playable without Timed Input|DualShock Controller Support|DualSense Controller Support|DualSense Controller Support|Save Anytime|Stereo Sound|Subtitle Options|Surround Sound|Steam Cloud|HDR available|Family Sharing
3892270,Gamble With Your Friends,trending,TEAM GWYF,TENSTACK,"1 May, 2026",windows,Adventure|Indie|Simulation,Single-player|Multi-player|Co-op|Online Co-op|Steam Achievements|Camera Comfort|Custom Volume Controls|Playable without Timed Input|Stereo Sound|Steam Cloud|Family Sharing
3472040,NBA 2K26,trending,Visual Concepts,2K,"4 Sep, 2025",windows,Sports,Single-player|Multi-player|PvP|Online PvP|Shared/Split Screen PvP|Co-op|Online Co-op|Shared/Split Screen Co-op|Shared/Split Screen|Steam Achievements|In-App Purchases|Camera Comfort|Custom Volume Controls|Adjustable Difficulty|Gamepad Recommended|Keyboard Only Option|DualShock Controller Support|DualShock Controller Support|DualSense Controller Support|DualSense Controller Support|Stereo Sound|Surround Sound|Partial Controller Support|Steam Cloud|Remote Play Together|Family Sharing
250900,The Binding of Isaac: Rebirth,trending,"Nicalis, Inc.|Edmund McMillen","Nicalis, Inc.","4 Nov, 2014",windows|mac|linux,Action,Single-player|Multi-player|Shared/Split Screen|Steam Achievements|Full controller support|Steam Trading Cards|Steam Cloud|Remote Play on TV|Remote Play Together|Family Sharing
